PUBMILLIS,FECHA
-74.027573,4.766734
-74.131885,4.604547
-74.124252,4.646707
-74.118156,4.63743
-74.116825,4.638905
-74.132031,4.645671
-74.059031,4.687396
-74.049403,4.68167
-74.053091,4.68603
-74.049896,4.680719
-74.056893,4.687154
-74.068259,4.695469
-74.068833,4.700781
-74.068741,4.700857
-74.04998,4.697944
-74.042188,4.67706
-74.047728,4.679723
-74.04666,4.67612
-74.035163,4.699209
-74.083389,4.711575
-74.178554,4.611163
-74.099711,4.579401
-74.098356,4.610274
-74.14669,4.63167
-74.141516,4.654594
-74.093062,4.622931
-74.102627,4.633207
-74.104553,4.630706
-74.111794,4.643856
-74.110646,4.644997
-74.079739,4.597157
-74.070217,4.607755
-74.066132,4.608598
-74.086357,4.630537
-74.08893,4.633193
-74.075811,4.623022
-74.06958,4.642932
-74.050228,4.655446
-74.077308,4.65115
-74.087185,4.644719
-74.123842,4.683665
-74.115291,4.713314
-74.092556,4.743878
-74.108264,4.706231
-74.077656,4.660474
-74.076349,4.664824
-74.062394,4.662394
-74.063249,4.662012
-74.135273,4.683833
-74.059944,4.663885
-74.076044,4.679837
-74.080428,4.685869
-74.042852,4.763033
-74.042023,4.763454
-74.039733,4.764649
-74.105996,4.599402
-74.066869,4.609302
-74.067018,4.609353
-74.080771,4.686306
-74.051594,4.685912
-74.067844,4.689699
-74.054671,4.70045
-74.054017,4.699269
-74.047055,4.688395
-74.051696,4.718722
-74.052669,4.716001
-74.049068,4.737764
-74.043875,4.764421
-74.100251,4.604151
-74.103401,4.601333
-74.131575,4.645412
-74.081495,4.627911
-74.079012,4.642871
-74.067885,4.673767
-74.070674,4.671248
-74.072809,4.668766
-74.072533,4.66909
-74.049521,4.662077
-74.075041,4.666137
-74.075983,4.664574
-74.056706,4.689231
-74.056802,4.688653
-74.034732,4.688586
-74.033414,4.692962
-74.033079,4.693862
-74.026221,4.759337
-74.030836,4.794474
-74.02927,4.79241
-74.060869,4.666633
-74.04979,4.668251
-74.050075,4.664496
-74.054273,4.676964
-74.057329,4.678336
-74.065895,4.67647
-74.078026,4.684613
-74.032194,4.712736
-74.029883,4.711834
-74.043876,4.735965
-74.027605,4.739486
-74.042093,4.729389
-74.04638,4.729693
-74.043187,4.751279
-74.039495,4.749727
-74.038595,4.764592
-74.037857,4.764553
-74.039573,4.764656
-74.139382,4.57294
-74.137534,4.633819
-74.123097,4.653393
-74.079814,4.632659
-74.080173,4.62869
-74.079622,4.634671
-74.045534,4.70439
-74.046432,4.704896
-74.044809,4.704273
-74.075513,4.758618
-74.059419,4.755825
-74.040033,4.749636
-74.033679,4.7484
-74.03268,4.748237
-74.04188,4.76028
-74.039113,4.760258
-74.101202,4.656231
-74.087906,4.591244
-74.080362,4.626401
-74.086282,4.646479
-74.071153,4.650956
-74.071289,4.650852
-74.075453,4.651988
-74.061614,4.646949
-74.061146,4.648203
-74.059157,4.640831
-74.063653,4.636597
-74.10023,4.680105
-74.076404,4.66164
-74.051411,4.660296
-74.075698,4.664273
-74.076518,4.66117
-74.068298,4.673501
-74.060893,4.677955
-74.069445,4.672617
-74.070879,4.67101
-74.057675,4.68339
-74.081488,4.700344
-74.043418,4.672286
-74.040704,4.689342
-74.028983,4.699773
-74.033197,4.693929
-74.053898,4.70601
-74.027552,4.763883
-74.027929,4.785583
-74.06501,4.747165
-74.030369,4.801214
-74.028828,4.791347
-74.138253,4.672948
-74.139674,4.694932
-74.13978,4.695214
-74.117095,4.660446
-74.090117,4.616512
-74.062683,4.640529
-74.104772,4.673511
-74.108081,4.670135
-74.117083,4.674741
-74.077047,4.660846
-74.064865,4.675615
-74.066868,4.674421
-74.066741,4.674498
-74.057093,4.686867
-74.057617,4.683769
-74.051323,4.682972
-74.081245,4.701331
-74.055273,4.699032
-74.057309,4.685532
-74.024278,4.729
-74.024529,4.72819
-74.050193,4.728312
-74.081014,4.703488
-74.111411,4.557468
-74.165449,4.595618
-74.164311,4.595613
-74.139566,4.595439
-74.1004,4.579743
-74.145277,4.626997
-74.154129,4.623277
-74.155153,4.641817
-74.094084,4.632763
-74.124391,4.645476
-74.124492,4.646899
-74.114213,4.641172
-74.125325,4.647642
-74.126895,4.649278
-74.1137,4.642007
-74.113669,4.641852
-74.097736,4.638048
-74.076403,4.600524
-74.077529,4.607147
-74.067626,4.601819
-74.068093,4.603447
-74.083464,4.614713
-74.077272,4.624392
-74.068094,4.629602
-74.067694,4.631862
-74.074979,4.651543
-74.053487,4.652571
-74.062339,4.653302
-74.084389,4.651822
-74.070596,4.650736
-74.077734,4.640332
-74.115301,4.671477
-74.127093,4.669931
-74.127259,4.674669
-74.112724,4.660302
-74.113784,4.659952
-74.113357,4.685151
-74.112139,4.680303
-74.114669,4.712297
-74.106493,4.705688
-74.062401,4.663423
-74.067,4.663314
-74.060573,4.66894
-74.062795,4.66851
-74.050515,4.663381
-74.063107,4.672338
-74.0599,4.678619
